topic,custom_name,auto_label,n_rows,n_distinct_items,top_members
84,,冰綠茶-小 等8款,14,8,冰綠茶-小:6 | 冰綠茶-中:2 | 冰蘋果青茶大:1 | 冰紅茶-中:1 | 蜂蜜青茶-冰:1 | 冰奶茶:1
85,,酥脆雞塊 等5款,14,5,酥脆雞塊:8 | 香蒜起士麵包:3 | 菲力雞排麵包:1 | 白醬嫩煎雞肉 寬扁麵:1 | 青醬嫩煎雞肉 寬扁麵:1
86,,fmc鹼性離子水800ml 等5款,13,5,fmc鹼性離子水800ml:4 | 統一ph9鹼性離子水:4 | 泰山純水:3 | 悅氏light鹼性水:1 | 悅氏天然水2200ml:1
87,,配料（單品）,13,1,配料:13
88,,奶茶 等2款,13,2,奶茶:12 | 風味奶茶:1
89,,小吃food court 等5款,13,5,小吃food court:9 | 開飯川食堂:1 | 台灣客美多珈琲 餐飲 正價品:1 | 漢堡王:1 | mini one:1
90,,ab優酪乳原味 等6款,13,6,ab優酪乳原味:7 | 鮮乳坊起司銀絲卷:2 | 起司牛肉可頌:1 | 光泉杯裝全脂鮮乳:1 | 乳酪火山布蕾:1 | 福樂草莓優酪乳:1
91,,照燒雞肉堡6吋 等6款,13,6,照燒雞肉堡6吋:4 | 雙層牛肉堡:4 | 燒烤牛肉堡6吋:2 | 義大利牛肉丸堡6吋:1 | 火腿堡6吋:1 | 獅子頭雞肉飯-加蔥:1
92,,味丹多喝水 等3款,12,3,味丹多喝水:10 | 多喝水pet700:1 | 多喝水pet2000:1
93,,撈派巴沙魚片(半) 等12款,12,12,撈派巴沙魚片(半):1 | 凍豆腐(半):1 | 自選小料:1 | 撈派撈麵:1 | 美國特選肥牛(半):1 | 招牌蝦滑(半):1
94,,(區)現蒸地瓜25元 等5款,12,5,(區)現蒸地瓜25元:6 | (區)現蒸地瓜30元:2 | (區)現蒸地瓜35元:2 | 白蘿蔔:1 | (區)現蒸地瓜40元:1
95,,特選美式冰咖啡(大) 等6款,12,6,特選美式冰咖啡(大):4 | 美式冰咖啡(大):4 | 咖哩盤30cm:1 | 左岸咖啡館奶茶240ml(杯):1 | 美式冰咖啡(特大):1 | 美式熱咖啡(大):1
96,,停車費 等3款,12,3,停車費:9 | 清潔維護費:2 | 停車場清潔維護費:1
97,,糖心蛋(兩片) 等2款,12,2,糖心蛋(兩片):11 | 黃金蛋:1
98,,燙青菜（單品）,11,1,燙青菜:11
99,,老中醫天然仙楂70g 等2款,11,2,老中醫天然仙楂70g:10 | 良澔仙楂梅160g:1
100,,叉燒飯 等11款,11,11,叉燒飯:1 | 豚骨魚介肉盛:1 | 松露雞白湯:1 | ei壽喜牛里肌豬排鍋定食:1 | 生豆皮1份:1 | 綠茶冰:1
101,,餛飩牛肉湯麵(小) 等9款,11,9,餛飩牛肉湯麵(小):3 | 豬油麵(小):1 | 雙醬麵(小):1 | 餛飩麵(小):1 | 魯肉飯(小):1 | 蘿蔔牛肉清湯:1
102,,極致巧克力蛋糕 等4款,11,4,極致巧克力蛋糕:8 | 楚佛巧克力:1 | 巴斯克蛋糕:1 | 巧克力起司蛋糕:1
103,,影印費 等3款,10,3,影印費:8 | 劃位-+ 加價:1 | try 日本語n3達陣 從日檢文法展開全方位學習 (附m:1
104,,外送費（單品）,10,1,外送費:10
105,,林聰明-雞肉飯飯糰 等3款,10,3,林聰明-雞肉飯飯糰:8 | (區)粥天子-田園雞蓉玉米粥:1 | 增雞蛋白餐:1
106,,大冰美式（單品）,10,1,大冰美式:10
107,,極選厚菠蘿 等2款,10,2,極選厚菠蘿:8 | 32層菠蘿可頌:2
108,,白玉珍珠 / 無糖 / 微冰 等2款,10,2,白玉珍珠 / 無糖 / 微冰:6 | 無糖 / 微冰 / 白玉珍珠:4
109,,紅油口水雞 等10款,10,10,紅油口水雞:1 | 椒麻雞(微辣)-不香菜:1 | 香辣麵q雞:1 | 高麗菜50:1 | 辣子雞丁90:1 | 香菇肉70:1
