topic,type_label,n_distinct_items,n_rows,users,unit_price_p10,unit_price_p50,unit_price_p90,price_ratio_p90_p10,generic_share,coherent_ok,members
49,1原蛋 等13款,13,19,"1,2",1.0,115.0,229.6,229.6,0.0,False,1原蛋:5 | 健康蔬活菜飯(餐盒):3 | 11(大)爪哇咖哩牛丼:1 | 卡啦雞腿堡a經典餐:1 | 卡啦雞腿堡xl全明星餐:1 | 青花椒堡xl全明星餐:1 | 吮指嫩雞蛋堡:1 | 青花椒雞xl全明星餐:1 | 超大炸雞餐:1 | 原味脆雞堡餐129:1 | 烤堡xl全明星餐:1 | 冰火菠蘿油:1 | 素羅漢齋炒一丁:1
50,配-經典大薯 等8款,8,18,"0,1,2",38.2,43.0,76.9,2.0,0.0,True,配-經典大薯:8 | 薯條-大:4 | a01_大薯+1多1:1 | d小薯:1 | 配-經典中薯:1 | 薯來堡(牛):1 | 1 地瓜薯條:1 | 薯條-中:1
51,起司蛋堡 等13款,13,18,"0,2",46.3,52.0,105.5,2.3,0.0,True,起司蛋堡:6 | cremia 北海道冰淇淋之神生日快樂冰淇淋(口味任選):1 | 鮮蛋沙拉可頌:1 | 質立藍莓冰淇淋:1 | 真松露巧克力奶蓋雪糕:1 | niseko海鹽焦糖雪糕:1 | 反烤焦糖布丁蛋糕:1 | 杯裝起司蛋糕霜淇淋:1 | 冰戀雙旋冰淇淋:1 | 31冰淇淋:1 | 雙球冰淇淋:1 | 葡式蛋塔:1 | 雙倍or冰炫風:1
52,餐飲費 等4款,4,18,"0,1,2",117.0,287.0,907.4,7.8,0.89,False,餐飲費:10 | 餐飲:6 | 優惠單人套餐:1 | 299成人:1
53,藝舍黑田桑小卡 等15款,15,18,"0,2",12.0,27.5,46.2,3.8,0.0,True,藝舍黑田桑小卡:3 | 加新入袋a4單線簿白:2 | 南寶透明裝飾貼4 size:1 | 四季螺旋蠟燭中藍:1 | 晴天快樂派對帽3:1 | 藝舍黑田桑生日卡:1 | 飛龍861平頭黑:1 | 15k赤牛皮公文信封50張:1 | 亞柏25mm黑色長尾夾225:1 | 大菱定頁32k筆記本:1 | 飛龍c205鉛芯hb:1 | 永丰宜定頁25k筆記本:1 | 珠友a4手提單層網紗袋:1 | plus 48-112修正帶:1 | wh-626智慧型修正帶黑:1
54,d摩斯雞塊套加60 等5款,5,18,1,52.8,60.0,70.0,1.3,0.0,True,d摩斯雞塊套加60:13 | b夏威夷元氣沙拉50:2 | 辣味和風雞腿塊:1 | 和風炸雞-大:1 | 和風雞腿塊-摩斯辣醬:1
55,多喝水鹼性竹炭（單品）,1,18,2,47.8,50.0,50.0,1.0,0.0,True,多喝水鹼性竹炭:18
56,多多綠茶 等2款,2,18,1,120.0,120.0,120.0,1.0,0.0,True,多多綠茶:17 | 大 多多綠:1
57,摩斯鱈魚堡 等7款,7,18,"0,1",40.2,59.0,70.0,1.7,0.0,True,摩斯鱈魚堡:7 | (a)北海鱈魚香絲(大):5 | 鮪魚肉鬆雙手卷:2 | g餓遊戲:1 | 黃金魚蛋:1 | 鮭魚鮭魚卵(圓):1 | 惜時金貓餐罐80g(鮪魚+蝦肉蟹肉):1
58,芽香綠金萱(l) 等4款,4,18,"1,2",35.0,35.0,41.5,1.2,0.0,True,芽香綠金萱(l):14 | 柔香青金萱(l):2 | 芽香綠金萱:1 | 阿聰師芋單:1
59,美式冰咖啡(大) 等2款,2,17,1,45.0,45.0,45.0,1.0,0.0,True,美式冰咖啡(大):16 | 濃萃美式冰咖啡(大):1
60,百樂g2 07鋼珠筆藍 等16款,16,17,"0,2",13.6,29.0,56.0,4.1,0.0,True,百樂g2 07鋼珠筆藍:2 | 文明mk-3001雙頭水性美工筆銘黃:1 | 文明mk-3001雙頭水性美工筆紅:1 | 文明mk-3001雙頭水性美工筆柑:1 | toeic 證書:1 | 三菱sxn155溜溜筆黑:1 | 萬事捷uchida粗字油漆筆300-s/白:1 | 萬事捷uchida粗字油漆筆300-s/黑:1 | 雄獅681油性簽字筆/黑:1 | 飛龍ns75油性筆黑:1 | 飛龍nlf50油性筆黑:1 | 英士no50速乾筆黑:1 | 百樂038果汁筆黑:1 | 百樂038果汁筆藍:1 | 百樂g2 07鋼珠筆紅:1 | 百樂g2 07鋼珠筆黑:1
61,(a)統一h2o純水pet2200 等5款,5,17,"1,2",26.0,35.0,35.0,1.3,0.0,True,(a)統一h2o純水pet2200:12 | 統一h2o純水pet1500:2 | 泰山純水pet700:1 | (a)統一uni water純水pet550:1 | 心樸元氣純水6200ml:1
