user_id,group,base_month,cur_month,P0,Q0,P1,Q1,base_spend,cur_spend,delta,price_effect,qty_effect,residual
1,停車費 @ 遠創智慧,2026-04,2026-05,30.0,3.0,30.0,4.0,90.0,120.0,30.0,0.0,30.0,0.0
1,一配經典肉鬆飯糰 @ 全家便利商店台大二活門市部,2025-11,2026-04,30.0,1.0,30.0,2.0,30.0,60.0,30.0,0.0,30.0,0.0
1,涼拌豆干絲 @ 九南商行,2025-09,2026-04,35.0,1.0,35.0,2.0,35.0,70.0,35.0,0.0,35.0,0.0
0,桂格顆粒燕麥飲 @ 全家便利商店台大二活門市部,2025-11,2026-05,35.0,1.0,35.0,2.0,35.0,70.0,35.0,0.0,35.0,0.0
0,(區)現蒸地瓜25元 @ 統一超商台北市第七四一,2025-11,2026-04,25.0,1.0,25.0,1.0,25.0,25.0,0.0,0.0,0.0,0.0
0,福樂自然零藍莓優酪 @ 統一超商台北市第七四一,2025-09,2026-05,30.0,1.0,30.0,2.0,30.0,60.0,30.0,0.0,30.0,0.0
2,起司蛋堡 @ 傑洛國際台大店,2025-10,2026-03,52.0,2.0,52.0,1.0,104.0,52.0,-52.0,0.0,-52.0,0.0
1,摩斯鱈魚堡 @ 安心食品服務南港展館,2025-12,2026-05,70.0,1.0,70.0,1.0,70.0,70.0,0.0,0.0,0.0,0.0
1,冰/熱 美式咖啡(大) @ 統一超商,2025-09,2026-02,143.0,1.0,140.0,1.0,143.0,140.0,-3.0,-3.0,0.0,0.0
1,白玉珍珠 / 無糖 / 微冰 @ 陌生人商行,2025-10,2026-05,10.0,1.0,10.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0
1,炙燒乳酪蛋糕 @ 貓啡因商行,2025-09,2026-01,160.0,2.0,160.0,1.0,320.0,160.0,-160.0,0.0,-160.0,0.0
1,餐飲費 @ 欣食旅 南港營業所,2025-11,2026-04,183.33,3.0,130.0,1.0,550.0,130.0,-420.0,-53.33,-366.67,0.0
1,a 美式黑咖啡-中冰 @ 路易莎職人咖啡新北圖館,2026-03,2026-05,60.0,2.0,60.0,2.0,120.0,120.0,0.0,0.0,0.0,0.0
1,864898丸龜製麵 @ 遠百企業板橋南雅,2025-12,2026-05,144.0,2.0,184.0,1.0,288.0,184.0,-104.0,40.0,-144.0,0.0
0,餐-十塊雞 @ 和德昌台北公館,2025-10,2026-05,109.0,1.0,109.0,1.0,109.0,109.0,0.0,0.0,0.0,0.0
0,統一麵包快樂牛奶球 @ 統一超商台北市第七四一,2025-12,2026-04,25.0,2.0,25.0,2.0,50.0,50.0,0.0,0.0,0.0,0.0
0,豆干 @ 東引快刀手企業社,2026-02,2026-05,20.0,3.0,20.0,1.0,60.0,20.0,-40.0,0.0,-40.0,0.0
0,ab原味優酪乳206ml(瓶) @ 統一超商台北市第七四一,2025-10,2026-02,28.0,1.0,28.0,2.0,28.0,56.0,28.0,0.0,28.0,0.0
0,台灣上等蕉(裸賣) @ 統一超商台北市第七四一,2025-12,2026-04,20.0,1.0,20.0,1.0,20.0,20.0,0.0,0.0,0.0,0.0
1,a4黑白列印ibon @ 統一超商新北市第一四三五,2025-12,2026-05,3.0,21.0,3.0,42.0,63.0,126.0,63.0,0.0,63.0,0.0
1,油切蕎麥茶 @ 恆木茶行,2025-09,2026-04,42.5,2.0,40.0,1.0,85.0,40.0,-45.0,-2.5,-42.5,0.0
1,pkl330立頓巧克力奶 @ 松深食品,2025-10,2026-04,13.0,1.0,13.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0
1,台灣上等蕉(裸賣) @ 統一超商台北市第一0二七,2026-01,2026-04,20.0,2.0,20.0,1.0,40.0,20.0,-20.0,0.0,-20.0,0.0
1,牧香穀物鮮奶茶(l) @ 大仟飲料店,2025-12,2026-03,70.0,1.0,70.0,1.0,70.0,70.0,0.0,0.0,0.0,0.0
1,燙青菜 @ 一娘子小吃店,2026-01,2026-04,40.0,1.0,40.0,1.0,40.0,40.0,0.0,0.0,0.0,0.0
1,重乳奶茶tp330 @ 全家便利商店台大二活門市部,2026-03,2026-05,25.0,2.0,25.0,1.0,50.0,25.0,-25.0,0.0,-25.0,0.0
2,蕉滴滴 @ 全聯實業永和成功,2025-10,2025-12,51.0,3.0,55.0,1.0,153.0,55.0,-98.0,4.0,-102.0,0.0
