Topic,Count,Name,Representation,Representative_Docs,top_items
61,17,61_pet700___,"['pet700', '', '', '', '', '', '', '', '', '']","['(a)統一h2o純水pet2200 統一超商新北市第一四三五', '(a)統一uni water純水pet550 統一超商新北市第三十三門市', '泰山純水pet700 統一超商台北市第六五一']",(a)統一h2o純水pet2200 | 統一h2o純水pet1500 | 泰山純水pet700 | (a)統一uni water純水pet550 | 心樸元氣純水6200ml
62,17,62____,"['', '', '', '', '', '', '', '', '', '']","['蘿蔔 東引快刀手企業社', '蘿蔔 東引快刀手企業社', 'lasagna 丁崔兄弟']",豆干 | 蘿蔔 | 燙青菜時蔬 | lasagna | 滷蛋
63,17,63____,"['', '', '', '', '', '', '', '', '', '']","['黑蒜豚骨拉麵 九南商行', '黑蒜豚骨拉麵 九南商行', '黑蒜豚骨拉麵 九南商行']",黑蒜豚骨拉麵 | 釜山紅湯拉麵 | 博多叉燒拉麵 (大) | 松露豚骨拉麵 | 客製醬油豚骨拉麵
64,17,64_4_lalaport_0_a,"['4', 'lalaport', '0', 'a', '', '', '', '', '', '']","['統一麵包愛心牛奶球 統一超商台北市第一0三二', '耕豆漿布丁燒 (蛋奶素)150g 日商樂比亞台灣lalaport南港店', '健達巧克力含牛奶內餡(4入) 統一超商台北市第七四一']",統一麵包快樂牛奶球 | 石安牧場溏心蛋飯糰(圓) | (a)多力多滋超濃起司味玉米片 | 耕豆漿布丁燒 (蛋奶素)150g | 雪花嘉義方塊酥
65,17,65____,"['', '', '', '', '', '', '', '', '', '']","['超級大麥海洋珍珠堡 安心食品服務南港展館', '超級大麥杏鮑菇珍珠堡 安心食品服務南港展館', '超級大麥海洋珍珠堡 安心食品服務南港展館']",超級大麥海洋珍珠堡 | 超級大麥杏鮑菇珍珠堡 | 海洋珍珠堡 | 麥當勞勁辣鷄腿堡+薯條(小)+四塊麥克鷄塊+可樂(中) 好禮即享券 | c黃金地瓜薯條套加6
66,17,66____,"['', '', '', '', '', '', '', '', '', '']","['烤雞(熟) 詠觀國際', '烤雞(熟) 詠觀國際', '烤雞(熟) 詠觀國際']",烤雞(熟) | 鮮蝦(熟)
67,16,67_140___,"['140', '', '', '', '', '', '', '', '', '']","['起士核桃堡140元 國立臺灣大學生物資源暨農學院附設農業試驗場', '起士核桃堡140元 國立臺灣大學生物資源暨農學院附設農業試驗場', '起士核桃堡140元 國立臺灣大學生物資源暨農學院附設農業試驗場']",三明治冰淇淋 | 起士核桃堡140元 | 豆乳原味奶酪 | (臺大)小鮮乳 | 歐式蔓越莓核桃65元
68,16,68_tea___,"['tea', '', '', '', '', '', '', '', '', '']","['輕食咖啡廳 冠誠生活', '輕食咖啡廳 冠誠生活', '咖啡廳coffee shops & tea salons 新光三越百貨台北信義']",輕食咖啡廳 | 咖啡廳coffee shops & tea salons
69,16,69____,"['', '', '', '', '', '', '', '', '', '']","['原味波士頓 貓啡因商行', '原味波士頓 貓啡因商行', '提拉米蘇 貓啡因商行']",原味波士頓 | 服務費用 | 提拉米蘇 | 拿鐵 | 泡芙
70,16,70____,"['', '', '', '', '', '', '', '', '', '']","['韓式泡菜拉麵 九南商行', '韓式泡菜拉麵 九南商行', '韓式泡菜拉麵 九南商行']",韓式泡菜拉麵 | 拉麵 | 香辣麵里肌
71,16,71_b_e__,"['b', 'e', '', '', '', '', '', '', '', '']","['珍大雞排 - 炙燒火烤雞腿(b) 作燴餐飲科技', '日香雞肉飯 - 私房辣椒雞腿飯(b) 百變全球餐飲', '日香雞肉飯 - 私房辣椒雞腿飯(b) 百變全球餐飲']",日香雞肉飯 - 私房辣椒雞腿飯(b) | 松露野菇牛肝菌燉飯 | 珍大雞排 - 炙燒火烤雞腿(b) | 珍大雞排 - 珍大雞排飯(f) | 番茄匈牙利雞腿排
72,16,72_3_1__,"['3', '1', '', '', '', '', '', '', '', '']","['餅乾3片 傑洛國際台大店', '餅乾3片 傑洛國際台大店', '餅乾3片 傑洛國際台大店']",餅乾3片 | 餅乾1片 | 可樂餅
73,16,73_e_40_a_,"['e', '40', 'a', '', '', '', '', '', '', '']","['(a)御料小館香辣炸雞球 美德耐台大卓越商場', '麵筋40 小品雅廚中原', '(e )光泉生乳米漿 美德耐台大卓越商場']",林聰明-雞肉飯飯糰 | (a)御料小館香辣炸雞球 | 卡滋脆皮燒肉螺螄粉 | 御料小館蔥抓餅 | 打拋豬豬-不辣
74,15,74____,"['', '', '', '', '', '', '', '', '', '']","['特選牛肉串 品都串燒', '孜然羊肉串 品都串燒', '香菇 品都串燒']",櫛瓜 | 豆皮 | 香菇 | 孜然羊肉串 | 培根麻糬
75,15,75_a5_140_b_a,"['a5', '140', 'b', 'a', '', '', '', '', '', '']","['b 優惠套餐(原價138) 吾時食清燉紅燒牛肉麵', '140元套餐 高氏柴胡', 'a5牛肉湯麵套餐 昇恒昌桃園二期']",_美國_雪花牛套餐 | b 優惠套餐(原價138) | 140元套餐 | 壽日本國產牛羽下套餐 | a5牛肉湯麵套餐
76,15,76_l_q__,"['l', 'q', '', '', '', '', '', '', '', '']","['芽香綠金萱(l) 大仟飲料店', '發發通化 - 芽香綠金萱(l) 作燴餐飲科技', '芽香綠金萱(l) 大仟飲料店']",芽香綠金萱(l) | 柔香青金萱(l) | 金萱雙q | 發發通化 - 芽香綠金萱(l)
77,15,77_165___,"['165', '', '', '', '', '', '', '', '', '']","['體適能-全票 頂尖運動行銷樹林營業所', 'minecraft 165吋合金公仔驚喜包/ w1/ 隨機 誠品生活新板', 'minecraft 165吋合金公仔驚喜包/ w1/ 隨機 誠品生活新板']",體適能-全票 | minecraft 165吋合金公仔驚喜包/ w1/ 隨機 | 桌球場 | 玩具公仔 | pop mart-動漫生活-玩具公仔
78,15,78_700ml___,"['700ml', '', '', '', '', '', '', '', '', '']","['ex強氣泡水 全聯實業永和成功', 'ex強氣泡水 全聯實業永和成功', '泰山純水 700ml 全聯實業台中新民']",泰山淨之水 | ex強氣泡水 | 統一鹼性離子水 | uni water550水 | 泰山純水 700ml
79,15,79_0___,"['0', '', '', '', '', '', '', '', '', '']","['台灣上等蕉(裸賣) 統一超商台北市第一0二七', '台灣上等蕉(裸賣) 統一超商台北市第一0二七', '台灣上等蕉(裸賣) 統一超商台北市第一0二七']",台灣上等蕉(裸賣) | 台灣黑輪 | 小 手拍 小農蕃茄瑪
80,15,80_i_l_pkl330_,"['i', 'l', 'pkl330', '', '', '', '', '', '', '']","['焙金萱鮮奶茶(l) 大仟飲料店', '牧香穀物鮮奶茶(l) 大仟飲料店', '抹茶牛奶(i) 丁崔兄弟']",牧香穀物鮮奶茶(l) | 大阿薩姆紅茶 | 抹茶牛奶(i) | 黑糖牛奶-ice | pkl330立頓琥珀紅茶
81,14,81____,"['', '', '', '', '', '', '', '', '', '']","['95無鉛汽油 永錡保安加油站', '95plus無鉛 台亞石油板橋浮洲橋加油站', '95無鉛汽油 永錡保安加油站']",臨停 | 95無鉛汽油 | 票號2025092916046243 | 95無鉛 | 95plus無鉛
82,14,82_10___,"['10', '', '', '', '', '', '', '', '', '']","['紅油脆筍 九南商行', '涼拌豆干絲 九南商行', '水餃10粒-辣 瑤池企業社']",涼拌豆干絲 | 豬腳能量碗 | 水餃10粒-辣 | 紅油脆筍 | 涼拌小黃瓜
83,14,83____,"['', '', '', '', '', '', '', '', '', '']","['粥天子-廣式皮蛋瘦肉煲粥 統一超商台北市第七四一', '粥天子-廣式皮蛋瘦肉煲粥 統一超商台北市第七四一', '粥天子-廣式皮蛋瘦肉煲粥 統一超商台北市第七四一']",粥天子-廣式皮蛋瘦肉煲粥
84,14,84_l___,"['l', '', '', '', '', '', '', '', '', '']","['d02 大馬式拉茶 大馬勝光', '冰綠茶-小 和德昌台北公館', 'l-開心果抹茶-完美冰 歐歐歐一號店']",冰綠茶-小 | 冰綠茶-中 | 冰蘋果青茶大 | 冰紅茶-中 | 蜂蜜青茶-冰
85,14,85____,"['', '', '', '', '', '', '', '', '', '']","['香蒜起士麵包 貓啡因商行', '白醬嫩煎雞肉 寬扁麵 貓啡因商行', '菲力雞排麵包 貓啡因商行']",酥脆雞塊 | 香蒜起士麵包 | 菲力雞排麵包 | 白醬嫩煎雞肉 寬扁麵 | 青醬嫩煎雞肉 寬扁麵
86,13,86_2200ml___,"['2200ml', '', '', '', '', '', '', '', '', '']","['悅氏light鹼性水 全家便利商店西站', '統一ph9鹼性離子水 全家便利商店台大二活門市部', '悅氏天然水2200ml 三商家購永和得和二']",fmc鹼性離子水800ml | 統一ph9鹼性離子水 | 泰山純水 | 悅氏light鹼性水 | 悅氏天然水2200ml
87,13,87____,"['', '', '', '', '', '', '', '', '', '']","['配料 九南商行', '配料 九南商行', '配料 九南商行']",配料
88,13,88____,"['', '', '', '', '', '', '', '', '', '']","['風味奶茶 貓啡因商行', '奶茶 貓啡因商行', '奶茶 貓啡因商行']",奶茶 | 風味奶茶
89,13,89_mini___,"['mini', '', '', '', '', '', '', '', '', '']","['小吃food court 新光三越百貨台北信義', '小吃food court 新光三越百貨台北信義', 'mini one 漢神購物中心台中']",小吃food court | 開飯川食堂 | 台灣客美多珈琲 餐飲 正價品 | 漢堡王 | mini one
90,13,90____,"['', '', '', '', '', '', '', '', '', '']","['鮮乳坊起司銀絲卷 全家便利商店台大二活門市部', 'ab優酪乳原味 全家便利商店台大二活門市部', '起司牛肉可頌 悠旅生活事業松仁門市部']",ab優酪乳原味 | 鮮乳坊起司銀絲卷 | 起司牛肉可頌 | 光泉杯裝全脂鮮乳 | 乳酪火山布蕾
91,13,91_6___,"['6', '', '', '', '', '', '', '', '', '']","['照燒雞肉堡6吋 傑洛國際台大店', '義大利牛肉丸堡6吋 傑洛國際台大店', '火腿堡6吋 傑洛國際台大店']",照燒雞肉堡6吋 | 雙層牛肉堡 | 燒烤牛肉堡6吋 | 義大利牛肉丸堡6吋 | 火腿堡6吋
92,12,92_pet700___,"['pet700', '', '', '', '', '', '', '', '', '']","['味丹多喝水 全聯實業永和成功', '味丹多喝水 全聯實業永和成功', '多喝水pet700 統一超商台北市第九三三']",味丹多喝水 | 多喝水pet700 | 多喝水pet2000
93,12,93____,"['', '', '', '', '', '', '', '', '', '']","['千張豆皮(半) 新加坡商海底撈事業台灣第二', '自選小料 新加坡商海底撈事業台灣第二', '響鈴卷(半) 新加坡商海底撈事業台灣第二']",撈派巴沙魚片(半) | 凍豆腐(半) | 自選小料 | 撈派撈麵 | 美國特選肥牛(半)
94,12,94_30_40_35_,"['30', '40', '35', '', '', '', '', '', '', '']","['(區)現蒸地瓜40元 統一超商台北市第七四一', '(區)現蒸地瓜30元 統一超商台北市第七四一', '(區)現蒸地瓜30元 統一超商台北市第七四一']",(區)現蒸地瓜25元 | (區)現蒸地瓜30元 | (區)現蒸地瓜35元 | 白蘿蔔 | (區)現蒸地瓜40元
